Education,Region,Age,Sex,Ethnicity,y2011,y2012,y2013,y2014,y2015
Degree,East,16 to 21,Male,White,37,50.67122434,132.2440098,185.8940627,264.5538078
Degree,East,16 to 21,Male,Mixed,191,275.6624813,328.3338325,423.5234878,496.3298894
Degree,East,16 to 21,Male,Asian,808,896.9915625,930.2611961,1022.894193,1038.461197
Degree,East,16 to 21,Male,Black,307,378.0859119,428.5959616,443.3705975,540.7035828
Degree,East,16 to 21,Male,Other,866,920.6376683,931.7881466,1011.84888,1064.191377
Degree,East,16 to 21,Female,White,542,610.1054172,678.0950048,747.5297472,769.458571
Degree,East,16 to 21,Female,Mixed,944,949.8665623,973.7073569,1025.820022,1096.710382
Degree,East,16 to 21,Female,Asian,708,807.4569961,823.9652782,884.2456325,914.2386165
Degree,East,16 to 21,Female,Black,274,328.4285,335.4749868,410.7865937,465.4936315
Degree,East,16 to 21,Female,Other,112,204.4687659,228.2432864,259.7789758,268.6937582
Degree,East,22 to 25,Male,White,828,896.2930089,945.6036819,975.3007932,986.154718
Degree,East,22 to 25,Male,Mixed,446,447.2017221,526.5605281,586.4560484,640.6169801
Degree,East,22 to 25,Male,Asian,19,65.65523822,73.52270847,156.2284459,200.0329938
Degree,East,22 to 25,Male,Black,380,443.1939603,459.2650161,528.3388672,543.8511491
Degree,East,22 to 25,Male,Other,634,654.1016781,691.341631,728.9168264,756.4558238
Degree,East,22 to 25,Female,White,724,769.1315695,794.2901574,869.9320998,883.9356897
Degree,East,22 to 25,Female,Mixed,230,274.2553231,359.3808147,440.9240562,516.6419732
Degree,East,22 to 25,Female,Asian,632,670.9491748,716.4854814,727.8497519,821.7969786
Degree,East,22 to 25,Female,Black,702,763.1344293,854.9461829,892.9658364,906.4838673
Degree,East,22 to 25,Female,Other,162,164.5936389,263.7622361,275.4098722,316.8206169
Degree,East,26 to 29,Male,White,784,846.6270088,875.8688646,896.7792251,955.7493434
Degree,East,26 to 29,Male,Mixed,56,131.7412113,204.5463692,224.0008436,232.4161914
Degree,East,26 to 29,Male,Asian,60,67.24331135,81.30561296,165.9154404,222.0120527
Degree,East,26 to 29,Male,Black,163,168.0945705,265.4812751,325.5921826,413.4096431
Degree,East,26 to 29,Male,Other,350,377.6196572,390.668253,401.2524868,466.4372595
Degree,East,26 to 29,Female,White,778,819.226681,862.728121,901.4247181,961.9078344
Degree,East,26 to 29,Female,Mixed,93,123.6454039,167.2690498,168.8966944,267.6479914
Degree,East,26 to 29,Female,Asian,884,905.8530063,916.0949747,999.6382895,1085.689275
Degree,East,26 to 29,Female,Black,141,236.9453291,298.1614422,324.3765325,332.1159486
Degree,East,26 to 29,Female,Other,293,384.7545338,426.4774203,522.8018272,563.6529119
Degree,East Midlands,16 to 21,Male,White,392,436.1734509,442.0253641,535.94839,573.8408949
Degree,East Midlands,16 to 21,Male,Mixed,503,601.885706,658.5479895,719.3640043,728.7020605
Degree,East Midlands,16 to 21,Male,Asian,623,670.1879454,709.8215839,737.6205531,821.6611806
Degree,East Midlands,16 to 21,Male,Black,150,209.5354835,298.9938325,364.0808769,409.354256
Degree,East Midlands,16 to 21,Male,Other,852,885.4049429,933.52942,987.513046,1001.811704
Degree,East Midlands,16 to 21,Female,White,792,881.4691867,898.667544,937.0263212,1025.957971
Degree,East Midlands,16 to 21,Female,Mixed,165,246.6585183,289.2786639,325.2360331,408.9707131
Degree,East Midlands,16 to 21,Female,Asian,787,854.9962508,897.187814,955.1528509,1044.127389
Degree,East Midlands,16 to 21,Female,Black,634,641.658289,652.105438,684.5853869,734.2970734
