date,Aaliyah,Abbie,Abby,Abigail,Ada,Agnes,Aimee,Aisha,Alexandra,Alice,Alicia,Alisha,Alison,Alma,Amanda,Amber,Amelia,Amelie,Amy,Andrea,Angela,Anita,Ann,Anna,Annabelle,Anne,Annette,Annie,Arabella,Aria,Ashleigh,Audrey,Ava,Barbara,Beatrice,Bella,Bertha,Beryl,Bessie,Beth,Bethan,Bethany,Betty,Beverley,Blanche,Brenda,Bridget,Brooke,Caitlin,Carla,Carly,Carol,Carole,Caroline,Carolyn,Catherine,Cerys,Chantelle,Charlene,Charlie,Charlotte,Chelsea,Cheryl,Chloe,Christina,Christine,Clair,Claire,Clara,Clare,Constance,Courtney,Cynthia,Daisy,Danielle,Daphne,Darcey,Darcie,Darcy,Dawn,Debbie,Deborah,Debra,Demi,Denise,Diana,Diane,Donna,Dora,Doreen,Doris,Dorothy,Edith,Edna,Eileen,Elaine,Eleanor,Elise,Eliza,Elizabeth,Ella,Elle,Ellen,Ellie,Eloise,Elsie,Emilia,Emily,Emma,Enid,Erin,Esme,Esther,Ethel,Eva,Eve,Evelyn,Evie,Faith,Fanny,Felicity,Fiona,Florence,Frances,Francesca,Freda,Freya,Gabrielle,Gail,Gemma,Georgia,Georgina,Geraldine,Gertrude,Gillian,Gladys,Glenys,Gloria,Glynis,Grace,Gracie,Gwendoline,Hannah,Harper,Harriet,Hayley,Hazel,Heather,Heidi,Helen,Hilary,Hilda,Hollie,Holly,Ida,Imogen,Irene,Iris,Isabel,Isabella,Isabelle,Isla,Isobel,Ivy,Jacqueline,Jade,Jane,Janet,Janice,Jasmine,Jayne,Jean,Jeanette,Jemma,Jenna,Jennifer,Jenny,Jessica,Jessie,Jill,Joan,Joanna,Joanne,Jodie,Jordan,Josephine,Joy,Joyce,Judith,Julia,Julie,June,Karen,Kate,Katherine,Kathleen,Kathryn,Katie,Katy,Kay,Kayla,Kayleigh,Keira,Kelly,Kelsey,Kerry,Kiera,Kim,Kimberley,Kirsty,Lacey,Laila,Lara,Laura,Lauren,Layla,Leah,Leanne,Lesley,Lexi,Lexie,Libby,Lilian,Lillian,Lilly,Lily,Linda,Lindsay,Lindsey,Lisa,Lola,Lorraine,Lottie,Louisa,Louise,Lucy,Luna,Lydia,Lynda,Lyndsey,Lynn,Lynne,Lynsey,Mabel,Maddison,Madeleine,Madison,Maisie,Maisy,Mandy,Margaret,Margery,Maria,Marian,Marie,Marilyn,Marina,Marion,Marjorie,Marlene,Martha,Mary,Maryam,Matilda,Maud,Maureen,Mavis,Maxine,May,Maya,Megan,Melanie,Melissa,Mia,Michele,Michelle,Mila,Mildred,Millicent,Millie,Minnie,Miriam,Mollie,Molly,Monica,Morgan,Muriel,Mya,Nancy,Naomi,Natalie,Natasha,Nellie,Niamh,Nichola,Nicola,Nicole,Nora,Norah,Norma,Olive,Olivia,Paige,Pamela,Patricia,Paula,Pauline,Peggy,Penelope,Phoebe,Phyllis,Poppy,Rachael,Rachel,Rebecca,Rebekah,Rhiannon,Rita,Robyn,Rose,Rosemary,Rosie,Rosina,Ruby,Ruth,Sally,Samantha,Sandra,Sara,Sarah,Scarlett,Shannon,Sharon,Sheila,Shirley,Sian,Sienna,Skye,Sofia,Sonia,Sophia,Sophie,Stacey,Stella,Stephanie,Summer,Susan,Suzanne,Sybil,Sylvia,Tanya,Tara,Tegan,Teresa,Thea,Thelma,Theresa,Tia,Tilly,Tina,Toni,Tracey,Tracy,Valerie,Vanessa,Vera,Veronica,Victoria,Violet,Vivienne,Wendy,Willow,Winifred,Yasmin,Yvonne,Zara,Zoe
1996,null,45,null,21,null,null,70,null,38,25,98,null,null,null,null,40,63,null,9,null,null,null,null,47,null,null,null,null,null,null,58,null,null,null,null,null,null,null,null,83,72,13,null,null,null,null,null,null,66,null,null,null,null,null,null,68,null,89,null,null,7,34,null,2,null,null,null,90,null,null,null,52,null,71,20,null,null,null,null,null,null,null,null,79,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,26,56,null,63,30,null,null,null,4,14,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,62,null,null,99,null,50,16,39,null,null,null,null,null,null,null,41,null,null,6,null,60,57,null,78,null,null,null,null,67,23,null,91,null,null,null,null,null,null,94,null,null,19,null,null,null,55,null,null,null,null,null,54,null,3,null,null,null,null,null,43,null,null,null,null,null,null,null,null,null,59,48,null,86,12,null,null,null,51,null,74,null,null,null,null,73,53,null,null,null,17,5,null,35,88,null,null,null,null,null,null,null,85,null,null,null,null,null,null,null,null,44,15,null,61,null,null,null,null,null,null,null,93,null,null,null,null,null,null,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,null,46,null,null,null,null,null,null,null,null,null,81,29,null,null,null,null,null,75,42,33,null,null,null,87,36,null,null,null,null,24,28,null,null,null,null,null,null,65,null,92,77,27,8,null,84,null,80,null,null,69,null,null,null,null,32,null,null,18,null,11,null,null,null,76,null,null,null,null,95,1,97,null,48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37,null,null,null,null,null,82,null,null,31
1997,null,55,null,24,null,null,61,null,43,26,84,71,null,null,null,40,48,null,11,null,null,null,null,41,null,null,null,null,null,null,68,null,null,null,null,null,null,null,null,96,73,14,null,null,null,null,null,null,46,null,null,null,null,null,null,74,null,92,null,null,7,35,null,1,null,null,null,null,null,null,null,18,null,69,29,null,null,null,null,null,null,null,null,80,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,30,44,null,66,27,null,null,null,2,13,null,97,null,null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,98,null,57,10,33,null,null,null,null,null,null,null,42,null,null,6,null,59,65,null,78,null,null,null,null,67,23,null,94,null,null,null,null,100,null,77,null,null,25,null,null,null,48,null,null,null,null,null,62,null,4,null,null,null,null,null,58,null,null,null,null,null,null,null,null,null,63,53,null,83,15,null,null,null,50,null,82,null,null,null,null,93,63,null,null,null,17,8,null,36,null,null,null,null,null,null,null,null,75,null,null,null,null,null,null,null,null,45,12,null,56,null,null,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,47,89,null,null,null,null,null,88,null,null,76,21,null,null,null,null,null,85,51,39,null,86,null,null,37,null,null,null,null,19,32,null,null,null,null,null,null,54,null,null,79,28,9,null,87,null,90,null,null,70,null,null,null,null,38,null,null,22,null,16,null,null,null,72,null,null,null,null,91,3,null,null,52,null,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,null,null,null,null,34,null,null,null,null,null,81,null,null,31
1998,null,52,null,22,null,null,68,null,46,26,82,74,null,null,null,31,48,null,11,null,null,null,null,42,null,null,null,null,null,null,84,null,null,null,null,null,null,null,null,null,80,14,null,null,null,null,null,null,28,null,null,null,null,null,null,85,null,100,null,null,6,39,null,1,null,null,null,null,null,null,null,17,null,65,34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,30,38,null,78,21,null,null,null,2,15,null,79,null,null,null,null,null,null,null,null,null,null,null,null,null,53,null,93,null,null,59,12,33,null,null,null,null,null,null,null,35,null,null,7,null,56,null,null,null,null,null,null,null,70,23,null,57,null,null,96,90,87,null,76,null,null,20,null,null,null,47,null,null,null,null,null,62,null,4,null,null,null,null,null,58,72,null,null,null,null,null,null,null,null,63,55,null,null,13,null,null,null,60,null,null,88,null,null,null,null,69,null,null,null,25,8,null,40,null,null,null,null,null,null,null,null,61,null,null,null,null,null,null,null,null,48,10,null,50,null,null,null,null,null,null,null,86,null,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,54,75,null,null,null,null,null,67,null,null,73,24,null,94,null,null,null,91,51,37,null,66,null,null,36,null,null,null,null,16,32,null,null,null,null,null,null,43,null,98,99,29,9,null,83,null,95,null,null,71,null,null,null,null,44,null,null,27,null,18,null,null,null,81,null,null,null,null,89,5,null,null,63,null,null,null,null,null,null,null,null,null,null,null,null,77,null,null,null,null,null,null,null,null,null,41,null,null,null,null,null,92,null,null,45
1999,null,52,null,20,null,null,70,null,48,26,83,72,null,null,null,34,37,null,14,null,null,null,null,39,null,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,84,11,null,null,null,null,null,null,25,null,null,null,null,null,null,85,97,null,null,88,6,43,null,1,null,null,null,null,null,null,null,18,null,68,45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,33,27,null,78,16,null,null,null,2,17,null,69,null,null,null,null,86,null,null,null,null,null,null,null,null,56,null,92,null,null,73,12,44,null,null,null,null,null,null,null,28,null,null,10,null,59,null,null,null,null,null,null,null,80,23,null,46,null,null,77,57,89,null,55,null,null,24,null,null,null,35,null,null,null,null,null,76,null,8,null,null,null,null,null,74,79,null,null,null,null,null,null,null,null,71,60,null,null,15,null,null,null,67,null,null,null,null,null,null,null,94,null,null,null,29,7,null,32,null,null,null,null,null,null,null,null,53,null,null,null,null,null,null,null,null,65,13,null,50,null,null,null,null,null,null,null,82,null,87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,58,54,null,null,null,null,null,61,null,null,81,22,null,63,null,null,null,96,66,36,null,47,null,null,42,null,null,null,null,4,41,null,null,null,null,null,null,38,null,100,null,30,9,null,91,null,null,null,null,63,null,93,null,null,51,null,null,31,null,21,null,null,null,99,null,null,null,null,98,5,null,null,75,null,null,null,null,null,null,null,null,null,null,null,null,62,null,null,null,null,null,null,null,null,null,40,null,null,null,null,null,90,null,null,48
2000,null,46,null,19,null,null,72,null,48,29,90,84,null,null,null,37,35,null,14,null,null,null,null,31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,88,13,null,null,null,null,null,null,24,null,null,null,null,null,null,96,91,null,null,92,5,51,null,1,null,null,null,null,null,null,null,22,null,48,55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25,null,null,33,27,null,87,15,93,null,null,2,17,null,52,null,null,null,null,78,null,null,null,null,null,null,null,null,67,null,75,null,null,80,11,53,null,null,null,null,null,null,null,21,null,null,9,null,62,null,null,null,null,null,null,null,73,18,null,47,null,null,69,63,65,null,56,null,null,26,null,null,null,32,null,null,null,null,null,83,null,4,null,null,null,null,null,61,85,null,null,null,null,null,null,null,null,74,71,null,null,16,null,null,null,70,null,null,null,null,null,null,null,98,null,null,null,30,6,null,28,null,null,null,null,99,null,null,null,45,null,null,null,null,null,null,null,null,81,10,null,57,null,null,null,null,null,null,null,76,null,63,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,68,43,null,null,null,null,null,50,null,null,82,20,null,59,null,null,null,100,94,39,null,40,null,null,44,null,null,null,null,8,42,null,null,null,null,null,null,38,null,86,null,36,12,null,97,null,null,null,null,66,null,79,null,null,58,null,null,34,null,23,null,null,null,null,null,null,null,null,89,7,null,null,77,null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,null,null,null,null,null,null,null,54,null,null,null,null,null,95,null,null,41
2001,null,44,null,22,null,null,72,null,51,28,82,75,null,null,null,36,32,null,12,null,null,null,null,34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,null,94,21,null,null,null,null,null,null,98,99,null,null,91,6,66,null,1,null,null,null,null,null,null,null,29,null,47,73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27,100,null,33,19,null,85,11,null,null,null,2,20,null,42,null,null,null,null,50,null,92,null,null,null,null,null,null,76,null,52,null,null,93,14,58,null,null,null,null,null,null,null,23,null,null,8,null,70,null,null,null,null,null,null,null,69,18,null,56,null,null,68,54,57,null,55,null,null,24,null,null,null,30,null,null,null,null,null,81,null,4,null,null,null,null,null,62,95,null,null,null,null,null,null,null,null,83,78,null,null,13,null,null,null,77,null,null,null,null,null,null,null,null,null,null,null,37,7,null,31,null,null,null,null,80,null,null,null,35,null,null,null,null,null,null,null,null,79,9,null,59,null,null,null,null,null,null,null,89,90,63,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,74,25,null,null,null,null,null,41,null,null,65,15,null,60,null,null,null,96,97,48,null,48,null,null,45,null,null,null,null,10,46,null,null,null,null,null,null,40,null,84,null,39,16,null,null,null,null,null,null,61,null,67,null,null,71,null,null,38,null,26,null,null,null,null,null,null,null,null,88,5,null,null,87,null,null,null,null,null,null,null,null,null,null,null,null,53,null,null,null,null,null,null,null,null,null,63,null,null,null,null,null,86,null,null,43
2002,92,42,100,22,null,null,65,null,56,33,62,63,null,null,null,36,25,null,14,null,null,null,null,37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,null,null,23,null,null,null,null,null,null,null,null,null,null,91,7,78,null,1,null,null,null,null,null,null,null,32,null,40,83,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26,96,null,30,16,93,98,4,95,null,null,2,27,null,38,null,null,null,null,57,null,81,null,null,null,null,null,null,88,null,48,89,null,null,21,75,null,null,null,null,null,null,null,19,null,null,8,null,73,null,null,null,null,null,null,null,61,12,null,60,null,null,59,50,47,null,53,null,null,35,null,null,null,29,null,null,null,null,null,74,null,3,null,null,null,null,null,69,null,null,null,null,null,null,null,null,null,82,85,null,null,13,null,null,null,84,null,null,null,null,null,null,null,null,null,null,97,48,11,null,24,null,null,null,null,71,null,null,null,28,null,null,null,null,null,null,null,null,58,10,null,76,null,null,null,null,null,null,null,72,80,45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,null,87,20,null,null,null,null,null,34,null,null,70,15,null,67,null,null,null,null,99,52,null,54,null,null,46,null,null,null,null,9,51,null,null,null,null,null,null,41,null,63,null,44,18,null,null,null,null,null,null,55,null,66,null,null,79,null,null,39,null,31,null,null,null,null,null,null,null,null,86,5,null,null,94,null,null,null,null,null,null,null,null,null,null,null,null,68,null,null,null,null,null,null,null,null,null,77,null,null,null,null,null,90,null,null,43
2003,96,38,100,20,null,null,51,null,67,33,63,66,null,null,null,40,21,null,16,null,null,null,null,39,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,93,22,null,null,null,null,null,null,null,95,null,null,88,9,75,null,3,null,null,null,null,null,null,null,34,null,31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,null,null,32,12,null,null,2,82,null,null,1,19,null,36,null,null,null,null,65,null,60,98,null,null,null,null,null,80,null,42,null,null,null,26,76,null,null,null,null,null,null,null,14,null,null,10,null,79,null,null,null,null,null,null,null,63,13,null,61,null,null,46,37,41,null,50,null,null,77,null,null,null,30,null,null,null,null,null,81,null,4,null,null,null,null,null,78,null,null,null,null,null,null,null,null,null,73,89,null,null,11,null,null,null,83,null,null,null,null,null,null,null,null,null,null,91,68,17,null,27,null,null,null,null,57,null,null,null,23,null,null,null,null,null,null,null,null,70,7,null,69,null,null,null,null,null,null,null,71,72,55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,null,84,15,null,null,null,null,null,28,null,null,85,18,null,62,null,null,null,94,null,58,null,56,null,null,59,null,null,null,null,8,45,null,null,null,null,null,null,44,null,43,null,48,25,null,null,null,null,null,null,52,null,47,null,null,90,null,null,48,null,35,null,null,null,null,null,null,null,null,74,5,null,null,null,86,null,null,null,null,null,null,97,null,null,null,null,54,null,null,null,null,null,null,null,null,null,87,null,null,null,null,null,92,null,99,53
2004,null,44,null,19,null,null,47,null,72,39,60,62,null,null,null,42,18,null,13,null,null,null,null,50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28,null,null,null,null,null,74,25,null,null,null,null,null,null,null,95,null,null,93,8,86,null,5,null,null,null,null,null,null,null,46,null,32,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,97,null,35,14,null,null,2,83,null,null,1,20,null,36,null,null,null,null,61,null,38,82,null,null,null,null,null,79,null,33,null,null,null,27,94,null,null,null,null,null,null,null,11,null,null,12,null,77,null,null,null,null,null,null,null,71,17,null,67,null,null,49,34,30,null,53,null,null,90,null,null,null,37,null,null,null,null,null,87,null,3,null,null,null,null,null,89,null,null,null,null,null,null,null,null,null,92,null,null,null,9,null,null,null,88,51,null,null,null,91,null,null,null,null,null,98,81,23,null,24,null,null,null,null,52,null,null,100,16,null,null,null,null,null,null,null,null,78,7,null,70,null,null,null,null,null,null,76,69,41,59,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,10,null,84,15,null,null,null,null,null,22,null,null,80,21,null,75,null,null,null,99,null,66,null,48,null,null,64,null,null,null,null,6,40,null,null,null,null,null,null,43,null,45,null,65,26,null,null,null,null,null,null,57,null,31,null,null,null,null,null,56,68,54,null,null,null,null,null,null,null,null,63,4,null,null,null,73,null,null,null,null,null,null,null,null,null,null,null,55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,96,58
2005,null,53,null,20,null,null,48,null,87,44,72,57,null,null,null,38,15,83,17,null,null,null,null,52,null,null,null,null,null,null,null,null,82,null,null,null,null,null,null,null,null,40,null,null,null,null,null,71,26,null,null,null,null,null,null,null,null,null,null,null,9,null,null,6,null,null,null,null,null,null,null,58,null,28,null,null,null,null,null,null,null,null,null,78,null,null,null,null,null,null,null,null,null,null,null,null,43,null,null,42,10,null,null,5,93,null,null,2,23,null,32,null,null,null,76,55,null,29,69,null,null,null,null,null,75,null,31,null,null,null,34,null,null,null,null,null,null,null,null,7,86,null,14,null,73,null,null,null,null,null,null,null,77,19,null,65,null,null,47,24,30,null,51,null,null,null,null,null,null,41,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,99,37,null,null,null,92,null,null,null,null,null,null,94,27,97,25,null,null,null,null,48,null,null,74,16,null,null,null,null,90,null,null,null,null,8,null,84,null,null,null,null,null,null,63,63,39,59,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,89,null,null,null,null,null,98,13,null,null,18,null,null,null,null,null,21,null,null,81,22,null,91,null,null,null,100,null,80,null,50,null,null,68,null,null,null,null,4,45,null,null,null,null,null,null,36,null,35,null,79,33,null,null,null,null,null,null,61,null,12,null,null,null,null,null,56,46,62,null,null,null,null,70,88,96,null,60,3,null,null,null,66,null,null,null,null,null,null,null,null,null,null,null,54,95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,67
2006,null,80,null,23,null,null,65,null,89,47,87,57,null,null,null,39,16,78,19,null,null,null,null,50,null,null,null,null,null,null,null,null,60,null,null,null,null,null,null,null,null,43,null,null,null,null,null,55,35,null,null,null,null,null,null,null,null,null,null,null,12,null,null,7,null,null,null,null,null,null,null,66,null,26,null,null,null,null,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,42,null,null,41,11,null,null,10,100,null,null,5,27,null,28,null,null,null,75,63,null,21,61,null,null,null,null,null,85,null,24,null,null,null,37,null,null,null,null,null,null,null,null,1,59,null,15,null,82,null,null,null,null,null,null,null,83,18,null,48,null,null,45,20,29,93,54,null,null,null,null,null,null,31,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13,null,null,null,null,33,null,null,null,null,null,null,null,null,null,98,null,38,90,34,null,null,null,null,52,null,null,71,9,null,null,null,null,51,null,null,null,null,8,null,86,null,null,null,null,null,null,67,72,40,53,null,null,null,null,null,null,null,null,null,null,null,null,96,null,null,70,null,null,null,null,null,79,17,null,null,14,null,null,null,null,null,22,null,null,92,25,null,94,null,null,null,null,null,91,null,63,null,null,77,null,null,null,null,2,46,null,null,null,null,null,null,32,null,30,null,84,36,null,null,null,null,null,null,68,null,4,null,null,null,null,null,58,44,73,null,null,null,null,69,76,88,null,48,6,null,null,null,62,null,null,null,null,null,null,99,null,null,null,null,56,97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,81,74
2007,null,88,null,24,null,null,76,null,94,43,96,72,null,null,null,48,10,59,23,null,null,null,null,58,null,null,null,null,null,null,null,null,38,null,null,null,null,null,null,null,null,50,null,null,null,null,null,53,34,null,null,null,null,null,null,null,null,null,null,null,12,null,null,7,null,null,null,null,null,null,null,79,null,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48,null,null,36,9,null,null,14,null,null,null,4,29,null,27,null,null,null,52,75,100,15,73,null,null,null,null,null,89,null,26,null,null,null,42,null,null,null,null,null,null,null,null,2,68,null,16,null,74,null,null,null,null,null,null,null,83,20,null,33,null,null,45,19,21,65,57,null,null,null,null,null,null,32,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,null,null,null,null,92,null,null,null,null,null,null,null,18,null,null,null,null,41,null,null,null,null,null,null,null,77,null,null,null,51,82,39,null,null,null,90,56,null,null,54,8,null,null,null,null,46,null,null,null,null,11,null,86,null,null,null,null,null,null,63,84,35,60,null,null,null,null,93,null,null,null,null,null,null,null,87,null,null,62,null,null,null,null,null,78,17,null,null,13,null,null,null,null,null,22,null,null,null,30,null,null,null,null,null,null,null,null,null,69,null,null,85,null,null,null,null,3,55,null,null,null,null,null,null,31,null,28,null,98,47,null,null,null,null,95,null,61,null,1,null,null,null,null,null,70,40,91,null,null,null,null,63,67,81,null,37,6,null,null,null,44,null,null,null,null,null,null,null,null,null,null,null,66,97,null,null,null,null,null,null,null,null,99,null,null,null,null,null,null,null,71,80
2008,null,96,null,29,null,null,86,null,90,46,95,75,null,null,null,48,9,57,34,null,null,null,null,63,null,null,null,null,null,null,null,null,21,null,null,null,null,null,null,null,null,55,null,null,null,null,null,42,44,null,null,null,null,null,null,null,null,null,null,null,13,null,null,6,null,null,null,null,null,null,null,98,null,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,null,null,40,12,null,null,16,null,null,97,3,31,null,30,100,null,null,41,84,89,10,80,null,null,null,94,null,92,null,27,null,null,null,53,null,null,null,null,null,null,null,null,4,52,null,19,null,82,null,null,null,null,null,null,null,87,22,null,33,null,null,50,18,17,36,59,null,null,null,null,null,null,35,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,null,null,null,null,85,null,null,null,null,null,null,null,20,null,null,null,null,45,null,null,null,null,null,null,null,58,null,null,null,51,68,38,null,null,73,79,62,null,null,48,8,null,null,null,null,47,null,null,null,null,14,null,88,null,null,null,null,null,null,74,null,56,63,null,null,null,null,91,null,null,null,null,null,null,null,81,null,99,43,null,null,null,null,null,69,15,null,null,11,null,null,null,null,null,24,null,null,null,32,null,null,null,null,null,null,null,null,null,70,null,null,78,null,null,null,null,1,60,null,null,null,null,null,null,26,null,28,null,null,66,null,null,null,null,null,null,65,null,2,null,null,null,null,null,72,37,null,null,null,null,null,61,76,77,null,39,7,null,null,null,23,null,null,null,null,null,null,null,null,null,null,null,67,93,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71,83
2009,null,null,null,36,null,null,70,null,87,50,null,96,null,null,null,52,9,57,28,null,null,null,null,63,null,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,53,null,null,null,null,null,39,58,null,null,null,null,null,null,null,null,null,null,null,14,null,null,3,null,null,null,null,null,null,null,null,null,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56,null,null,43,13,null,null,27,null,null,90,4,41,null,33,95,null,null,38,92,85,10,73,null,null,null,80,null,98,null,21,null,null,null,55,null,null,null,null,null,null,null,null,7,54,null,29,null,89,null,null,null,97,null,null,null,82,19,null,32,null,null,51,15,17,30,60,null,null,null,null,null,null,37,null,null,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,84,null,null,null,null,null,null,null,31,null,null,null,null,63,null,null,null,null,null,null,null,67,null,null,null,61,48,44,null,null,47,69,78,null,null,45,8,null,null,null,null,42,null,null,null,null,16,null,91,null,null,null,null,null,null,68,null,59,34,null,null,null,null,93,null,null,null,null,null,null,null,81,null,null,46,null,null,null,null,null,66,20,null,null,11,null,null,null,null,null,26,null,null,null,40,null,null,null,100,null,null,null,null,null,76,null,null,88,null,null,null,null,1,65,null,null,null,null,null,null,23,null,22,null,null,77,null,null,null,null,94,null,62,null,2,null,null,null,null,99,79,25,null,null,null,null,null,48,71,74,null,35,5,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,72,86,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,75,83
2010,null,null,null,34,null,null,80,96,97,43,null,null,null,null,null,52,5,55,38,null,null,null,null,63,89,null,null,null,null,null,null,null,11,null,null,null,null,null,null,null,null,59,null,null,null,null,null,45,66,null,null,null,null,null,null,null,null,null,null,null,20,null,null,8,null,null,null,null,null,null,null,null,null,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,null,93,48,18,null,null,29,null,null,71,3,48,null,35,74,null,null,37,null,87,10,65,null,null,null,54,null,null,null,19,null,null,null,56,null,null,null,null,null,null,null,null,9,51,null,31,null,86,null,null,null,94,null,null,null,69,25,null,26,null,null,58,12,17,22,75,null,null,null,null,null,null,41,null,null,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,77,null,null,null,null,null,null,null,40,null,null,null,null,72,null,null,null,null,null,null,null,36,95,null,null,70,44,50,null,null,46,68,98,null,null,39,4,null,null,null,null,33,null,null,null,null,21,null,null,null,null,null,null,null,null,81,null,67,14,100,null,null,null,91,null,null,null,null,null,null,null,85,null,99,53,null,null,null,null,null,57,23,null,null,13,null,null,null,null,null,32,null,null,null,42,null,null,null,null,null,null,null,null,null,78,null,null,92,null,null,null,null,1,63,null,null,null,null,null,null,28,null,16,null,null,82,null,null,null,null,90,null,60,null,7,null,null,null,null,null,83,24,null,null,null,null,null,47,73,62,null,27,2,null,null,null,30,null,null,null,null,null,null,null,null,null,null,null,79,88,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,76,84
2011,null,null,null,38,null,null,null,95,null,37,null,null,null,null,null,52,1,54,51,null,null,null,null,67,79,null,null,null,null,null,null,null,9,null,null,69,null,null,null,null,null,63,null,null,null,null,null,50,86,null,null,null,null,null,null,null,null,null,null,null,21,null,null,12,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59,null,62,44,16,null,null,28,null,87,61,5,48,null,39,72,null,null,33,null,65,11,63,null,null,null,43,null,99,null,19,null,null,null,60,null,null,null,null,null,null,null,null,8,53,null,41,null,71,null,null,null,91,null,null,null,68,26,null,32,null,null,66,10,17,15,80,null,null,null,null,null,null,42,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,78,null,null,null,null,null,null,null,57,null,null,98,null,88,null,null,null,null,null,null,null,40,null,null,null,85,30,56,null,null,45,74,null,null,null,27,3,null,null,null,null,31,null,null,null,null,23,null,100,null,null,null,null,null,null,82,null,77,22,null,null,null,null,93,null,null,null,null,null,null,null,83,null,94,48,null,null,null,null,null,58,29,null,null,13,null,null,null,null,null,35,null,null,null,46,null,null,null,null,null,null,null,null,null,81,null,null,97,null,null,null,null,2,70,null,null,null,null,null,null,24,null,14,null,null,89,null,null,null,null,76,null,55,null,7,null,null,null,null,null,90,25,null,null,null,null,null,36,84,47,null,18,6,null,null,null,34,null,null,null,null,null,null,null,null,null,null,null,96,null,null,null,null,null,null,null,null,null,null,null,null,null,75,null,null,null,73,92
